Word,Landmark Index,X Coordinate,Y Coordinate,Z Coordinate
Car Accident ,0,0.815968,0.932903,0.000000
Car Accident ,1,0.764531,0.943103,-0.016411
Car Accident ,2,0.712668,0.906467,-0.029874
Car Accident ,3,0.687120,0.853775,-0.039533
Car Accident ,4,0.677375,0.801421,-0.049065
Car Accident ,5,0.740321,0.869028,-0.046741
Car Accident ,6,0.714583,0.827044,-0.064205
Car Accident ,7,0.702655,0.794508,-0.071881
Car Accident ,8,0.692832,0.761627,-0.076931
Car Accident ,9,0.771607,0.838043,-0.048630
Car Accident ,10,0.751144,0.759284,-0.065264
Car Accident ,11,0.740247,0.708020,-0.070827
Car Accident ,12,0.729286,0.666536,-0.074920
Car Accident ,13,0.802958,0.819369,-0.050400
Car Accident ,14,0.792825,0.735910,-0.071400
Car Accident ,15,0.785720,0.668347,-0.077300
Car Accident ,16,0.776791,0.616843,-0.079449
Car Accident ,17,0.832246,0.810705,-0.051546
Car Accident ,18,0.819128,0.737604,-0.068245
Car Accident ,19,0.807236,0.690887,-0.070561
Car Accident ,20,0.793038,0.657126,-0.071426
Car Accident ,0,0.843440,0.890146,0.000000
Car Accident ,1,0.849729,0.806804,-0.017918
Car Accident ,2,0.828240,0.705211,-0.028940
Car Accident ,3,0.804771,0.629527,-0.036784
Car Accident ,4,0.797077,0.573846,-0.046104
Car Accident ,5,0.806383,0.723608,-0.045748
Car Accident ,6,0.784952,0.662120,-0.066853
Car Accident ,7,0.768634,0.617442,-0.078861
Car Accident ,8,0.756275,0.577896,-0.086851
Car Accident ,9,0.781912,0.766918,-0.046077
Car Accident ,10,0.749365,0.719097,-0.066870
Car Accident ,11,0.720716,0.681207,-0.077419
Car Accident ,12,0.696298,0.647734,-0.085567
Car Accident ,13,0.763904,0.811663,-0.046666
Car Accident ,14,0.725880,0.773959,-0.067329
Car Accident ,15,0.695628,0.746257,-0.077250
Car Accident ,16,0.670271,0.723012,-0.083850
Car Accident ,17,0.753193,0.855259,-0.047707
Car Accident ,18,0.712848,0.836440,-0.066923
Car Accident ,19,0.684633,0.826314,-0.076442
Car Accident ,20,0.660240,0.814603,-0.082597
Car Accident ,0,0.089532,0.974226,0.000000
Car Accident ,1,0.088265,0.889492,-0.016371
Car Accident ,2,0.108111,0.795297,-0.028363
Car Accident ,3,0.124883,0.716248,-0.036800
Car Accident ,4,0.124837,0.647550,-0.045619
Car Accident ,5,0.127672,0.819649,-0.040527
Car Accident ,6,0.148838,0.745346,-0.057793
Car Accident ,7,0.162826,0.694826,-0.066813
Car Accident ,8,0.174605,0.652023,-0.072499
Car Accident ,9,0.150481,0.861146,-0.042001
Car Accident ,10,0.195799,0.804166,-0.056974
Car Accident ,11,0.225907,0.761071,-0.064382
Car Accident ,12,0.250581,0.726089,-0.070759
Car Accident ,13,0.165811,0.905051,-0.043584
Car Accident ,14,0.214805,0.866254,-0.060511
Car Accident ,15,0.250627,0.837682,-0.067740
Car Accident ,16,0.279982,0.811939,-0.072275
Car Accident ,17,0.174533,0.945185,-0.045281
Car Accident ,18,0.217020,0.917866,-0.058896
Car Accident ,19,0.245755,0.898434,-0.063094
Car Accident ,20,0.270660,0.879878,-0.066154
Car Accident ,0,0.859991,0.832772,0.000000
Car Accident ,1,0.850070,0.739925,-0.000425
